symbol,total_return,win_rate,max_drawdown,profit_factor,sharpe_ratio,average_risk_reward,consecutive_losses,benchmark_return,is_profitable_vs_bh,num_trades
RELIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0,5.53530934278008,False,
TCS,0.008011109048828076,84.61538461538461,-0.006140475289480918,2.2637038115608865,4.416610646321843,2.000000000014058,1,1.4579456567371152,False,13.0
HDFCBANK,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9241413527035596,False,
INFY,0.0009201272636718932,100.0,0.0,inf,,2.0000000000286153,0,1.7070421451875404,False,1.0
ICICIBANK,0.0,0.0,0.0,0.0,0.0,0.0,0,5.778379265969915,False,
SBIN,0.0065099118266601,100.0,0.0,inf,13.098491938796611,1.999999999961167,0,5.376233566764978,False,3.0
ITC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9100812929256303,False,
LT,0.0,0.0,0.0,0.0,0.0,0.0,0,3.820014605004547,False,
BHARTIARTL,0.0,0.0,0.0,0.0,0.0,0.0,0,4.90144596777396,False,
KOTAKBANK,0.0,0.0,0.0,0.0,0.0,0.0,0,1.508567166196512,False,
